Cluster = 0
Cluster = 1
Genus: oxytropis 	 NumberInCluster: 4 	 PercentageInCluster: 0.060606
Genus: tetragonotheca 	 NumberInCluster: 3 	 PercentageInCluster: 0.750000
Genus: lycianthes 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: cajanus 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: fendlera 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: sporobolus 	 NumberInCluster: 6 	 PercentageInCluster: 0.142857
Genus: spondias 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: caesalpinia 	 NumberInCluster: 5 	 PercentageInCluster: 0.277778
Genus: sidastrum 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: cressa 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: crossopetalum 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: trichloris 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: aristida 	 NumberInCluster: 2 	 PercentageInCluster: 0.036364
Genus: cercis 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: adelia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: galphimia 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: schoenocaulon 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: sphaeralcea 	 NumberInCluster: 2 	 PercentageInCluster: 0.042553
Genus: cayaponia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: tournefortia 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: astrophytum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: thelypodiopsis 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: carlowrightia 	 NumberInCluster: 5 	 PercentageInCluster: 0.625000
Genus: rubus 	 NumberInCluster: 6 	 PercentageInCluster: 0.023256
Genus: ipomopsis 	 NumberInCluster: 2 	 PercentageInCluster: 0.038462
Genus: nolina 	 NumberInCluster: 4 	 PercentageInCluster: 0.285714
Genus: xanthisma 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: atriplex 	 NumberInCluster: 6 	 PercentageInCluster: 0.051282
Genus: epithelantha 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: sphagneticola 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: paspalidium 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: marsilea 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: erithalis 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: hippeastrum 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: ficus 	 NumberInCluster: 2 	 PercentageInCluster: 0.095238
Genus: hibiscus 	 NumberInCluster: 8 	 PercentageInCluster: 0.160000
Genus: polanisia 	 NumberInCluster: 4 	 PercentageInCluster: 0.400000
Genus: phacelia 	 NumberInCluster: 12 	 PercentageInCluster: 0.053333
Genus: ferocactus 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: pseudoclappia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: chenopodium 	 NumberInCluster: 2 	 PercentageInCluster: 0.027778
Genus: crepis 	 NumberInCluster: 1 	 PercentageInCluster: 0.019608
Genus: monstera 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: annona 	 NumberInCluster: 3 	 PercentageInCluster: 0.500000
Genus: huperzia 	 NumberInCluster: 1 	 PercentageInCluster: 0.026316
Genus: physalis 	 NumberInCluster: 6 	 PercentageInCluster: 0.117647
Genus: passiflora 	 NumberInCluster: 9 	 PercentageInCluster: 0.195652
Genus: samolus 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: elytraria 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: funastrum 	 NumberInCluster: 2 	 PercentageInCluster: 0.285714
Genus: serjania 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: syzygium 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: triphasia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: amorpha 	 NumberInCluster: 3 	 PercentageInCluster: 0.150000
Genus: mucuna 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: paullinia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: gliricidia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: prosthechea 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: prunus 	 NumberInCluster: 6 	 PercentageInCluster: 0.068966
Genus: manihot 	 NumberInCluster: 3 	 PercentageInCluster: 0.428571
Genus: hoya 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: aloe 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: ludwigia 	 NumberInCluster: 2 	 PercentageInCluster: 0.048780
Genus: vitis 	 NumberInCluster: 4 	 PercentageInCluster: 0.133333
Genus: dichaetophora 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: turnera 	 NumberInCluster: 3 	 PercentageInCluster: 0.600000
Genus: selaginella 	 NumberInCluster: 1 	 PercentageInCluster: 0.016667
Genus: cardamine 	 NumberInCluster: 2 	 PercentageInCluster: 0.028986
Genus: monarda 	 NumberInCluster: 12 	 PercentageInCluster: 0.324324
Genus: chamaesaracha 	 NumberInCluster: 2 	 PercentageInCluster: 0.285714
Genus: byrsonima 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: linum 	 NumberInCluster: 5 	 PercentageInCluster: 0.094340
Genus: cryptostegia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: koelreuteria 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: nemastylis 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: flyriella 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: brickellia 	 NumberInCluster: 8 	 PercentageInCluster: 0.135593
Genus: zanthoxylum 	 NumberInCluster: 4 	 PercentageInCluster: 0.200000
Genus: gamochaeta 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: meximalva 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: tauschia 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: poa 	 NumberInCluster: 1 	 PercentageInCluster: 0.009615
Genus: sibara 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: potamogeton 	 NumberInCluster: 1 	 PercentageInCluster: 0.017544
Genus: aquilegia 	 NumberInCluster: 1 	 PercentageInCluster: 0.025000
Genus: amaranthus 	 NumberInCluster: 8 	 PercentageInCluster: 0.156863
Genus: hymenopappus 	 NumberInCluster: 4 	 PercentageInCluster: 0.137931
Genus: carex 	 NumberInCluster: 8 	 PercentageInCluster: 0.011527
Genus: axonopus 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: yeatesia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: haematoxylum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: tamaulipa 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: portulaca 	 NumberInCluster: 1 	 PercentageInCluster: 0.052632
Genus: leavenworthia 	 NumberInCluster: 2 	 PercentageInCluster: 0.125000
Genus: phyla 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: jacaranda 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: gomphrena 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: nomaphila 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: exostema 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: sesbania 	 NumberInCluster: 3 	 PercentageInCluster: 0.272727
Genus: ionopsis 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: argemone 	 NumberInCluster: 4 	 PercentageInCluster: 0.129032
Genus: eleocharis 	 NumberInCluster: 8 	 PercentageInCluster: 0.091954
Genus: swietenia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: krameria 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: aleurites 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: crataegus 	 NumberInCluster: 16 	 PercentageInCluster: 0.082051
Genus: tiquilia 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: phlox 	 NumberInCluster: 13 	 PercentageInCluster: 0.085526
Genus: plumeria 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: agdestis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: capparis 	 NumberInCluster: 3 	 PercentageInCluster: 0.375000
Genus: amphitecna 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: rhynchosia 	 NumberInCluster: 1 	 PercentageInCluster: 0.047619
Genus: pediomelum 	 NumberInCluster: 9 	 PercentageInCluster: 0.321429
Genus: myagrum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: barleria 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: limnophila 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: mortonia 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: deiregyne 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: acanthocereus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: mirabilis 	 NumberInCluster: 4 	 PercentageInCluster: 0.108108
Genus: abrus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: iva 	 NumberInCluster: 2 	 PercentageInCluster: 0.133333
Genus: cephalanthus 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: synedrella 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: polygonum 	 NumberInCluster: 2 	 PercentageInCluster: 0.018868
Genus: stevia 	 NumberInCluster: 2 	 PercentageInCluster: 0.200000
Genus: arabis 	 NumberInCluster: 1 	 PercentageInCluster: 0.006849
Genus: eustachys 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: crescentia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: hechtia 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: amphiachyris 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: rayjacksonia 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: tinantia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cayratia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: woodsia 	 NumberInCluster: 1 	 PercentageInCluster: 0.045455
Genus: bifora 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: asclepias 	 NumberInCluster: 4 	 PercentageInCluster: 0.043956
Genus: helianthus 	 NumberInCluster: 8 	 PercentageInCluster: 0.098765
Genus: manilkara 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: hybanthus 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: eugenia 	 NumberInCluster: 6 	 PercentageInCluster: 0.171429
Genus: oeceoclades 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: pellaea 	 NumberInCluster: 3 	 PercentageInCluster: 0.120000
Genus: yucca 	 NumberInCluster: 12 	 PercentageInCluster: 0.266667
Genus: krapovickasia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: allowissadula 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: rudbeckia 	 NumberInCluster: 3 	 PercentageInCluster: 0.073171
Genus: fimbristylis 	 NumberInCluster: 5 	 PercentageInCluster: 0.185185
Genus: acleisanthes 	 NumberInCluster: 5 	 PercentageInCluster: 0.833333
Genus: schefflera 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: stenaria 	 NumberInCluster: 5 	 PercentageInCluster: 0.555556
Genus: mollugo 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: cakile 	 NumberInCluster: 4 	 PercentageInCluster: 0.333333
Genus: verbena 	 NumberInCluster: 2 	 PercentageInCluster: 0.036364
Genus: pimenta 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: ranunculus 	 NumberInCluster: 2 	 PercentageInCluster: 0.014184
Genus: solanum 	 NumberInCluster: 19 	 PercentageInCluster: 0.175926
Genus: polygonella 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: alternanthera 	 NumberInCluster: 4 	 PercentageInCluster: 0.285714
Genus: gilia 	 NumberInCluster: 1 	 PercentageInCluster: 0.013699
Genus: tamarindus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: bouteloua 	 NumberInCluster: 4 	 PercentageInCluster: 0.121212
Genus: suriana 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: bromus 	 NumberInCluster: 2 	 PercentageInCluster: 0.029412
Genus: dichanthelium 	 NumberInCluster: 2 	 PercentageInCluster: 0.031746
Genus: celtis 	 NumberInCluster: 2 	 PercentageInCluster: 0.166667
Genus: dichromanthus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: morinda 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: ageratina 	 NumberInCluster: 1 	 PercentageInCluster: 0.050000
Genus: froelichia 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: thelypteris 	 NumberInCluster: 3 	 PercentageInCluster: 0.040000
Genus: anredera 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: leitneria 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: loeselia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: philadelphus 	 NumberInCluster: 2 	 PercentageInCluster: 0.057143
Genus: luziola 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: astranthium 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: allium 	 NumberInCluster: 7 	 PercentageInCluster: 0.047297
Genus: anthephora 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: momordica 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: brongniartia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: isocarpha 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: sisymbrium 	 NumberInCluster: 2 	 PercentageInCluster: 0.200000
Genus: croptilon 	 NumberInCluster: 5 	 PercentageInCluster: 0.833333
Genus: picrasma 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: androstephium 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: xylosma 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: chrysopsis 	 NumberInCluster: 1 	 PercentageInCluster: 0.062500
Genus: chiococca 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: buddleja 	 NumberInCluster: 4 	 PercentageInCluster: 0.285714
Genus: genistidium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: thurovia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: rosa 	 NumberInCluster: 1 	 PercentageInCluster: 0.011905
Genus: hemarthria 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: havardia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: bourreria 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: cleome 	 NumberInCluster: 2 	 PercentageInCluster: 0.100000
Genus: boerhavia 	 NumberInCluster: 3 	 PercentageInCluster: 0.157895
Genus: spathodea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: opuntia 	 NumberInCluster: 18 	 PercentageInCluster: 0.240000
Genus: aeschynomene 	 NumberInCluster: 1 	 PercentageInCluster: 0.071429
Genus: trichoneura 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hamelia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: merremia 	 NumberInCluster: 5 	 PercentageInCluster: 0.833333
Genus: delonix 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: leersia 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: thespesia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: soliva 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: eurytaenia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: scaevola 	 NumberInCluster: 1 	 PercentageInCluster: 0.071429
Genus: spermacoce 	 NumberInCluster: 5 	 PercentageInCluster: 0.312500
Genus: lasiacis 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: picramnia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: thalictrum 	 NumberInCluster: 2 	 PercentageInCluster: 0.066667
Genus: hovenia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: moringa 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: melica 	 NumberInCluster: 1 	 PercentageInCluster: 0.035714
Genus: lyonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.083333
Genus: citharexylum 	 NumberInCluster: 4 	 PercentageInCluster: 0.666667
Genus: malus 	 NumberInCluster: 1 	 PercentageInCluster: 0.045455
Genus: ratibida 	 NumberInCluster: 3 	 PercentageInCluster: 0.500000
Genus: caperonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: gyminda 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: lagascea 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: sesuvium 	 NumberInCluster: 2 	 PercentageInCluster: 0.285714
Genus: ehretia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: euonymus 	 NumberInCluster: 1 	 PercentageInCluster: 0.043478
Genus: selenia 	 NumberInCluster: 5 	 PercentageInCluster: 0.833333
Genus: juniperus 	 NumberInCluster: 2 	 PercentageInCluster: 0.083333
Genus: abronia 	 NumberInCluster: 2 	 PercentageInCluster: 0.068966
Genus: coreopsis 	 NumberInCluster: 5 	 PercentageInCluster: 0.108696
Genus: bonamia 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: hippocratea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: isocoma 	 NumberInCluster: 2 	 PercentageInCluster: 0.111111
Genus: hunzikeria 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: clematis 	 NumberInCluster: 1 	 PercentageInCluster: 0.018868
Genus: paspalum 	 NumberInCluster: 19 	 PercentageInCluster: 0.301587
Genus: helianthemum 	 NumberInCluster: 1 	 PercentageInCluster: 0.071429
Genus: lycium 	 NumberInCluster: 4 	 PercentageInCluster: 0.111111
Genus: seymeria 	 NumberInCluster: 2 	 PercentageInCluster: 0.285714
Genus: laennecia 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: asplenium 	 NumberInCluster: 3 	 PercentageInCluster: 0.029703
Genus: trichocoronis 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: odontonema 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: calylophus 	 NumberInCluster: 2 	 PercentageInCluster: 0.153846
Genus: neolloydia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: karwinskia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: chloris 	 NumberInCluster: 6 	 PercentageInCluster: 0.272727
Genus: stenorrhynchos 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: parthenium 	 NumberInCluster: 2 	 PercentageInCluster: 0.117647
Genus: smilax 	 NumberInCluster: 2 	 PercentageInCluster: 0.090909
Genus: centaurium 	 NumberInCluster: 6 	 PercentageInCluster: 0.272727
Genus: dalbergia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: ilex 	 NumberInCluster: 1 	 PercentageInCluster: 0.025000
Genus: valerianella 	 NumberInCluster: 4 	 PercentageInCluster: 0.285714
Genus: lippia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: iris 	 NumberInCluster: 1 	 PercentageInCluster: 0.015385
Genus: malacomeles 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: nicotiana 	 NumberInCluster: 2 	 PercentageInCluster: 0.095238
Genus: capraria 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: blechum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: sapium 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: canavalia 	 NumberInCluster: 3 	 PercentageInCluster: 0.230769
Genus: paronychia 	 NumberInCluster: 11 	 PercentageInCluster: 0.244444
Genus: colocasia 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: ernodea 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: pappophorum 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: agave 	 NumberInCluster: 8 	 PercentageInCluster: 0.181818
Genus: pilea 	 NumberInCluster: 3 	 PercentageInCluster: 0.130435
Genus: desmanthus 	 NumberInCluster: 6 	 PercentageInCluster: 0.400000
Genus: sideroxylon 	 NumberInCluster: 4 	 PercentageInCluster: 0.210526
Genus: adenanthera 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: zapoteca 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: selinocarpus 	 NumberInCluster: 3 	 PercentageInCluster: 0.500000
Genus: rhynchospora 	 NumberInCluster: 4 	 PercentageInCluster: 0.038462
Genus: cocos 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: symphyotrichum 	 NumberInCluster: 2 	 PercentageInCluster: 0.013605
Genus: castilleja 	 NumberInCluster: 8 	 PercentageInCluster: 0.049689
Genus: bartonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: lithospermum 	 NumberInCluster: 4 	 PercentageInCluster: 0.190476
Genus: ambrosia 	 NumberInCluster: 2 	 PercentageInCluster: 0.066667
Genus: pteris 	 NumberInCluster: 1 	 PercentageInCluster: 0.041667
Genus: coccinia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: celosia 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: erigeron 	 NumberInCluster: 3 	 PercentageInCluster: 0.011364
Genus: peperomia 	 NumberInCluster: 5 	 PercentageInCluster: 0.094340
Genus: bougainvillea 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: jasminum 	 NumberInCluster: 4 	 PercentageInCluster: 0.500000
Genus: cylindropuntia 	 NumberInCluster: 3 	 PercentageInCluster: 0.076923
Genus: chrysopogon 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: myrcianthes 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: drymaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.083333
Genus: pseudogynoxys 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: psychotria 	 NumberInCluster: 2 	 PercentageInCluster: 0.043478
Genus: fuirena 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: physostegia 	 NumberInCluster: 4 	 PercentageInCluster: 0.285714
Genus: omphalodes 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: hermannia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: tectaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: indigofera 	 NumberInCluster: 2 	 PercentageInCluster: 0.125000
Genus: helenium 	 NumberInCluster: 5 	 PercentageInCluster: 0.178571
Genus: marshallia 	 NumberInCluster: 1 	 PercentageInCluster: 0.076923
Genus: stillingia 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: croton 	 NumberInCluster: 20 	 PercentageInCluster: 0.317460
Genus: kalanchoe 	 NumberInCluster: 2 	 PercentageInCluster: 0.181818
Genus: thelypodium 	 NumberInCluster: 2 	 PercentageInCluster: 0.071429
Genus: mammillaria 	 NumberInCluster: 5 	 PercentageInCluster: 0.238095
Genus: odontosoria 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: stemodia 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: trifolium 	 NumberInCluster: 1 	 PercentageInCluster: 0.006711
Genus: cosmos 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: phyllanthus 	 NumberInCluster: 12 	 PercentageInCluster: 0.363636
Genus: ebenopsis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: gouania 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: cymodocea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: pterocaulon 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: batesimalva 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: stellaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.022222
Genus: luffa 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: mangifera 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: anulocaulis 	 NumberInCluster: 3 	 PercentageInCluster: 0.375000
Genus: solandra 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: echinomastus 	 NumberInCluster: 3 	 PercentageInCluster: 0.500000
Genus: machaonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: cassia 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: acacia 	 NumberInCluster: 10 	 PercentageInCluster: 0.188679
Genus: cassytha 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cyanthillium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: tillandsia 	 NumberInCluster: 4 	 PercentageInCluster: 0.166667
Genus: pentalinon 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: melochia 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: tectona 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: verbesina 	 NumberInCluster: 2 	 PercentageInCluster: 0.095238
Genus: garrya 	 NumberInCluster: 2 	 PercentageInCluster: 0.181818
Genus: lupinus 	 NumberInCluster: 3 	 PercentageInCluster: 0.008772
Genus: desmodium 	 NumberInCluster: 8 	 PercentageInCluster: 0.114286
Genus: dyschoriste 	 NumberInCluster: 5 	 PercentageInCluster: 0.500000
Genus: pseudelephantopus 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: evax 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: schaefferia 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: florestina 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: xylothamia 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: platanthera 	 NumberInCluster: 2 	 PercentageInCluster: 0.035088
Genus: pectis 	 NumberInCluster: 2 	 PercentageInCluster: 0.080000
Genus: pinus 	 NumberInCluster: 1 	 PercentageInCluster: 0.013889
Genus: aristolochia 	 NumberInCluster: 10 	 PercentageInCluster: 0.454545
Genus: matelea 	 NumberInCluster: 9 	 PercentageInCluster: 0.321429
Genus: abutilon 	 NumberInCluster: 8 	 PercentageInCluster: 0.333333
Genus: calliandra 	 NumberInCluster: 5 	 PercentageInCluster: 0.454545
Genus: eryngium 	 NumberInCluster: 2 	 PercentageInCluster: 0.048780
Genus: ixora 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: gymnanthes 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: poliomintha 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
